,Date,,Name,Town,Total Granted,Auto Payment,Auto Ins,Auto Fuel,Auto Repair,Electricity,Electrical Repairs,Furnishings,Health Ins,Home Ins,House hold,House Repairs,Medical,Mortgage,Rent,Moving,Propane/ Pellets/Oil,Phone,Trash,Water Sewer,"Repair Water
"
,12.31.11,,,,,,,,,,,,,,,,,998.37,,,,,,,
92,11.21.11,,Couple,Jacksonville,507.7,,,,,,,,,,,,,,,,,,,,507.70
93,11.21.11,,Couple,Searsburg,1800,,,,,,,,,,,"1,800.00",,,,,,,,,
94,11.22.11,,Single Woman,Wilmington,368.55,,,,,,,,,,,,,,,,368.55,,,,
95,11.22.11,,Single Woman,West Dover,750,,,,,,,,,,,,,,,,750.00,,,,
96,12.8.2011,,Single Mother,West Dover,930,,,,,,,,,,,,,,930.00,,,,,,
97,12.5.11,,Family of 6,Wilmington,1972.36,,,,,140.43,,,,,,,,701.79,,,,109.67,,,
,12.12.11,,,,,"1,020.47",,,,,,,,,,,,,,,,,,,
98,12.5.11,,Family of 5,West Dover,1300,,,,,,,,,,,,,,"1,300.00",,,,,,
99,12.6.11,,Family of 4,Wardsboro,2250,,,250.00,,,,,,,,,,,,,,,,,
,12.19.11,,,,,,,,,,,,,,,,,,,,"2,000.00",,,,
100,12.26.11,,Single Mother,Marlboro,0,,,,,,,,,,,,,,,,,,,,
101,12.12.11,,Family of 4,West Dover,939,,,,,,,,,,,640.00,,,,,299.00,,,,
102,12.12.11,,Family of 3,Whitingham,3865.94,,,,,,,,,,,85.04,,"1,610.18",,,830.20,,,,
,12.15.11,,,,,395.62,,,,,,,,,,944.90,,,,,,,,,
103,12.16.11,,Couple,Wilmington,1876.62,,,,,,,,,,,350.00,,,,,,,,,
,12.31.11,,,,,,,,,,,,,,,,,477.44,,,,,,,"1,049.18"
104,12.16.11,,Family of 4,East Dover,744.87,,,,,44.87,,,,,,,,,700.00,,,,,,
105,12.31.11,,Single Woman,,279,279.00,,,,,,,,,,,,,,,,,,,
106,12.26.11,,Family of 5,Wilmington,5711.67,,,,342.29,762.89,,,,,,,,"3,858.05",,,,192.61,,,
,,,,,,,,,,555.83,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,
108,12.31.11,,Couple,Whitingham,667.38,,,,,,,,,,,667.38,,,,,,,,,
109,12.31.11,,Single Father,Marlboro,1772,,,,,,,,,,230.00,"1,542.00",,,,,,,,,
110,12.31.11,,Single Man,Wilmington,140,,,,,,,,,,,,,,140.00,,,,,,
111,12.31.11,,Couple ,Jacksonville,674.84,,,,,,,,,,,,,674.84,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TOTAL,,0,"12,586.49","6,450.30",925.44,"4,104.73","9,998.46","9,800.00","5,625.13",718.19,"1,161.89","4,995.96","26,980.97","4,130.91","33,805.59","51,330.00",816.01,"19,642.72","2,877.38",319.50,"2,620.72","9,262.69"
,,,,,208153.08,,,,,,,,,,,,,,,,,,,,
